"ID","Accelerator","System","Simple edit","Start Time","End Time","OP Duration","OP Duration (seconds)","Effective Duration","Effective Duration (seconds)","Current state","States","Faulty Elements","Description","Cardiogram Link and Display Label","AWG","Expert","R2E Status","Parent ID","Parent","Child Count"
775554,"LHC","Power Converters","","26-11-2022 19:19:57","26-11-2022 21:10:10","01h 50min 13s",6613,"01h 50min 13s",6613,"OP Ended","Blocking OP|OP Ended","","Fault on RPTG.SR1.RD1.LR1","","Reviewed","Requires review","Not R2E related","","",0
776665,"LHC","Injector Complex » No Beam » SPS","","26-11-2022 18:21:00","26-11-2022 19:13:00","52min 00s",3120,"52min 00s",3120,"OP Ended","Blocking OP|OP Ended","","SPS TL PC problem","","Reviewed","Requires review","Not R2E related","","",0
775345,"LHC","Injector Complex » No Beam » LINAC3","","26-11-2022 15:00:00","26-11-2022 15:20:00","20min 00s",1200,"20min 00s",1200,"OP Ended","Non-Blocking OP|OP Ended","IP.NSRCGEN","HV trip of the source.
Restarted.","","Reviewed","Requires review","Not R2E related","","",0
777046,"LHC","Injector Complex » No Beam » SPS","","26-11-2022 08:45:43","26-11-2022 12:06:06","03h 20min 23s",12023,"03h 20min 23s",12023,"OP Ended","Non-Blocking OP|OP Ended","","800MHz was not working during that time, 
on request of SPS coordinator","","Reviewed","Requires review","Not R2E related","","",0
775171,"LHC","Injector Complex » No Beam » LINAC3","","26-11-2022 06:50:00","26-11-2022 07:50:00","01h 00min 00s",3600,"01h 00min 00s",3600,"OP Ended","Non-Blocking OP|OP Ended","","IA1.CRF
Final Grid1 off.
On restart, gravity switch blocked. Helped by phone to reset.","","Reviewed","Requires review","Not R2E related","","",0
776673,"LHC","LBDS » TCDQ","","25-11-2022 22:19:33","25-11-2022 22:19:34","01s",1,"01s",1,"OP Ended","Blocking OP|OP Ended","","TCDQ movement reaching FT over threshold and dumped the beam","","Reviewed","Requires review","Not R2E related","","",0
774898,"LHC","Power Converters","","25-11-2022 14:49:20","25-11-2022 20:00:52","05h 11min 32s",18692,"05h 11min 32s",18692,"OP Ended","Blocking OP|OP Ended","","RPADO.SR1.RD1.LR1 tripped. Experts found a cable had overheated and was causing an earth fault. Investigation of logs indicate fault started developing in September!
Active system replaced with spare (RPTG.SR1.RD1.LR1 ) which required many settings to be updated to allow operation. Further work needed between OP and EPC to streamline this process.","","Reviewed","Requires review","Not R2E related","","",0
774699,"LHC","Injector Complex » No Beam » LINAC4","","25-11-2022 08:42:22","25-11-2022 08:48:33","06min 11s",371,"06min 11s",371,"OP Ended","Non-Blocking OP|OP Ended","","L4C.AC.05 tripped","","Reviewed","Reviewed","Not R2E related","","",0
774797,"LHC","Operation » Operational error","","25-11-2022 05:19:10","25-11-2022 05:19:12","02s",2,"02s",2,"OP Ended","Blocking OP|OP Ended","","Same as previous, dp losses at start of ramp, combined with poor injector quality, long bunches and nor properly setup RF phase.","","Reviewed","Requires review","Not R2E related","","",0
773756,"LHC","Operation » Operational error","","25-11-2022 03:23:44","25-11-2022 03:23:46","02s",2,"02s",2,"OP Ended","Blocking OP|OP Ended","","Off dp losses in 3, due to a combination of poor injector beam quality, very long injector bunch length and not properly adjusted RF phase. Difficult to classify !","","Reviewed","Requires review","Not R2E related","","",0
774545,"LHC","Injector Complex » No Beam » SPS","","25-11-2022 01:18:18","28-11-2022 06:22:46","3d 05h 04min 28s",277468,"3d 05h 04min 28s",277468,"OP Ended","Non-Blocking OP|OP Ended","","ALPS BPM BA1 interlock triggered to several times.
Many AFT faults where detected to Injector Complex, since this interlock has been unmask in BIS, but was due to mainly to ALPS Interlock, need modification in SIS to apply correct AFT system in fault.","","Reviewed","Requires review","Not R2E related","","",0
777105,"LHC","Beam Instrumentation » BLM","","25-11-2022 00:37:01","25-11-2022 01:10:37","33min 36s",2016,"33min 36s",2016,"OP Ended","Blocking OP|OP Ended","","BLM sanity check failed. The BLM piquet fixed the issue by running the different steps manually. Now everything looks fine and we should be able to continue. ","","Reviewed","Requires review","Not R2E related","","",0
774814,"LHC","Collimation » Interlocks triggered","","24-11-2022 19:44:35","24-11-2022 19:54:50","10min 15s",615,"10min 15s",615,"OP Ended","Blocking OP|OP Ended","","Energy limit fake interlock on all crystals","","Reviewed","Requires review","Not R2E related","","",0
777097,"LHC","QPS » Hardware","","24-11-2022 18:11:28","24-11-2022 18:27:01","15min 33s",933,"15min 33s",933,"OP Ended","Blocking OP|OP Ended","","QPS Trip of ROF.A23.B2","","Reviewed","Reviewed","Not R2E related","","",0
774806,"LHC","Cryogenics » Equipment » Tunnel-Other","","24-11-2022 16:37:37","24-11-2022 17:35:54","58min 17s",3497,"58min 17s",3497,"OP Ended","Blocking OP|OP Ended","","Glitch of cryo signals on S81, trip of sector at injection","","Reviewed","Reviewed","Not R2E related","","",0
777087,"LHC","Beam Instrumentation » BPM","","24-11-2022 15:54:15","24-11-2022 16:10:56","16min 41s",1001,"16min 41s",1001,"OP Ended","Blocking OP|OP Ended","","Joel Albertone onsite in SR2 exchanging PC on the BPM crate bpm1rb that is even blocking us from launching the BLM calibration task","","Reviewed","Requires review","Not R2E related","","",0
774063,"LHC","Injector Complex » No Beam » PS","","24-11-2022 14:48:00","24-11-2022 14:51:00","03min 00s",180,"03min 00s",180,"OP Ended","Non-Blocking OP|OP Ended","","Beam cut by SIS.","","Reviewed","Requires review","Not R2E related","","",0
773996,"LHC","Injector Complex » No Beam » LEIR","","24-11-2022 10:15:00","24-11-2022 10:50:00","35min 00s",2100,"35min 00s",2100,"OP Ended","Non-Blocking OP|OP Ended","","CPSOP accidentally put ZERO cycles into LEIR, which confused the timing system.

The supercycle was fixed at 10:27, but in the meantime, ER.QFN1030 had gone into fault. TE-EPC piquet for injectors (PIPO) was called and reset the magnets.","","Reviewed","Requires review","Not R2E related","","",0
774845,"LHC","Operation » Operational error","","24-11-2022 04:51:13","24-11-2022 04:51:15","02s",2,"02s",2,"OP Ended","Blocking OP|OP Ended","","Most likely similar to otherevents this week with losses at start of ramp: phase adjustement for B2, long bunches from injectors and poor splitting","","Reviewed","Requires review","Not R2E related","","",0
774830,"LHC","QPS » Controller","","23-11-2022 23:10:36","24-11-2022 02:30:00","03h 19min 24s",11964,"03h 19min 24s",11964,"OP Ended","Blocking OP|OP Ended","","S81 sextupole (RSD2.A81)","","Reviewed","Reviewed","Not R2E related","","",0
774822,"LHC","Beam Losses » Fast Losses (UFO)","","23-11-2022 15:46:52","23-11-2022 15:46:54","02s",2,"02s",2,"OP Ended","Blocking OP|OP Ended","","Possible UFOO near ATLAS","","Reviewed","Requires review","Not R2E related","","",0
773544,"LHC","Injector Complex » No Beam » LINAC3","","23-11-2022 15:27:00","23-11-2022 16:03:00","36min 00s",2160,"36min 00s",2160,"OP Ended","Non-Blocking OP|OP Ended","","Source interlock PLC.
Module DI5 in failsafe mode (normally meaning inconsistent inputs).","","Reviewed","Requires review","Not R2E related","","",0
773389,"LHC","Injector Complex » No Beam » LEIR","","23-11-2022 11:57:00","23-11-2022 12:35:00","38min 00s",2280,"38min 00s",2280,"OP Ended","Non-Blocking OP|OP Ended","","During an access in SPS, a small MD was conducted in LEIR. During this MD, synchronization with PS was disabled and afterwards forgotten to be turned back on. Consequently, the extraction kicker did not pulse when the target was FTARGET.","","Reviewed","Requires review","Not R2E related","","",0
777076,"LHC","Other","","23-11-2022 09:38:26","23-11-2022 13:03:29","03h 25min 03s",12303,"03h 25min 03s",12303,"OP Ended","Blocking OP|OP Ended","","Initially seen as an access fault, the access team found an end of zone (red) door of UPR53 had been forced (green handle) from the HL LHC (civil engineering) side. 

The HL project confirmed that a team working on dismantling the wooden door in the UPR had made an intrusion into the machine. 

Special procedure required fire brigade, radio protection and access experts to identify and resolve due to temporary measures necessary in the UPR stairs (see EDMS 2620727)","","Reviewed","Requires review","Not R2E related","","",0
776984,"LHC","Injector Complex » No Beam » SPS","","23-11-2022 08:20:21","23-11-2022 10:20:21","02h 00min 00s",7200,"02h 00min 00s",7200,"OP Ended","Non-Blocking OP|OP Ended","","Spurious fire alarm, triggered most likely by PLC misbehavior. Delayed MD by 2 hours.","","Reviewed","Requires review","Not R2E related","","",0
777017,"LHC","Operation » Settings Issue","","22-11-2022 22:15:41","22-11-2022 22:16:06","25s",25,"25s",25,"OP Ended","Blocking OP|OP Ended","","Quench test ramp dumped by wrong collimators thresholds (partial leftover from MD)","","Reviewed","Requires review","Not R2E related","","",0
772740,"LHC","Power Converters","","22-11-2022 00:25:11","22-11-2022 07:30:41","07h 05min 30s",25530,"07h 05min 30s",25530,"OP Ended","Blocking OP|OP Ended","","RQT13.L7B1","","Reviewed","Requires review","Not R2E related","","",0
772595,"LHC","Injector Complex » No Beam » PSB","","21-11-2022 17:25:58","21-11-2022 17:38:27","12min 29s",749,"12min 29s",749,"OP Ended","Non-Blocking OP|OP Ended","","Miss injection steering on MD5843_LHC25A causing Injection BLMS losses (@ BI.BLMIN.1L1.E3), BR1.H0HM interlock and propagating the cut to the L4 watchdog and afterward to the other beams.","","Reviewed","Requires review","Not R2E related","","",0
772457,"LHC","Injector Complex » No Beam » PSB","","21-11-2022 14:22:51","21-11-2022 14:35:19","12min 28s",748,"12min 28s",748,"OP Ended","Non-Blocking OP|OP Ended","BI1.RQNO50","BI1.QFO50 trip. Reset.","","Reviewed","Reviewed","Not R2E related","","",0
772318,"LHC","Injector Complex » No Beam » PSB","","21-11-2022 11:27:55","21-11-2022 11:31:21","03min 26s",206,"03min 26s",206,"OP Ended","Non-Blocking OP|OP Ended","","Miss injection steering on MD5843_LHC25A causing Injection BLMS losses (@ BI.BLMIN.1L1.E3), BR1.H0HM interlock and propagating the cut to the L4 watchdog and afterward to the other beams.","","Reviewed","Requires review","Not R2E related","","",0
772152,"LHC","Injector Complex » No Beam » LINAC3","","21-11-2022 00:00:02","21-11-2022 03:02:28","03h 02min 26s",10946,"03h 02min 26s",10946,"OP Ended","Non-Blocking OP|OP Ended","","tank2 amplitude unstable, loose contact in a feedback module [dk]","","Reviewed","Requires review","Not R2E related","","",0
771648,"LHC","Transverse Damper » Controls","","20-11-2022 14:30:10","21-11-2022 10:45:00","20h 14min 50s",72890,"20h 14min 50s",72890,"OP Ended","Blocking OP|OP Ended","","Issue with ADT settings and HW state following RF crate hard reboot. Exact problem under investigations","","Reviewed","Requires review","Not R2E related","","",0
771446,"LHC","Injector Complex » No Beam » LINAC4","","20-11-2022 11:28:04","20-11-2022 11:31:06","03min 02s",182,"03min 02s",182,"OP Ended","Non-Blocking OP|OP Ended","L4P.ACAVLOOP.PIMS0910","Cavity breakdown during 2 pulses in CCDTL7","","Reviewed","Reviewed","Not R2E related","","",0
771640,"LHC","Radio Frequency » Other","","19-11-2022 22:16:49","20-11-2022 14:30:14","16h 13min 25s",58405,"16h 13min 25s",58405,"OP Ended","Blocking OP|OP Ended","","Unexplained issue with RF of B2, fixed by hard reboot of RF FECs","","Reviewed","Requires review","Not R2E related","","",0
772230,"LHC","Beam Losses » Other","","19-11-2022 13:14:19","19-11-2022 13:14:20","01s",1,"01s",1,"OP Ended","Blocking OP|OP Ended","","Operational mistake during LM with crystal - too strong excitation of ADT","","Reviewed","Requires review","Not R2E related","","",0
772065,"LHC","Injector Complex » No Beam » LINAC3","","19-11-2022 07:18:57","19-11-2022 08:23:09","01h 04min 12s",3852,"01h 04min 12s",3852,"OP Ended","Non-Blocking OP|OP Ended","","tank1 tripped, needed a local reset [dk]","","Reviewed","Requires review","Not R2E related","","",0
771996,"LHC","Injector Complex » No Beam » LINAC3","","19-11-2022 03:50:14","19-11-2022 06:47:59","02h 57min 45s",10665,"02h 57min 45s",10665,"OP Ended","Non-Blocking OP|OP Ended","","IP.VGP_GAS tripped and ditrupted the gas regulation, needed a slow restart [dk]","","Reviewed","Requires review","Not R2E related","","",0
772222,"LHC","Beam Losses » Other","","18-11-2022 13:59:41","18-11-2022 13:59:42","01s",1,"01s",1,"OP Ended","Blocking OP|OP Ended","","Dump from BLMs on a wire-scan with ions. Hard to judge what is faulty !","","Reviewed","Requires review","Not R2E related","","",0
772206,"LHC","LBDS » Other","","18-11-2022 08:00:00","18-11-2022 12:30:00","04h 30min 00s",16200,"04h 30min 00s",16200,"OP Ended","Blocking OP|OP Ended","","LBDS firmware issue on B1 - frequency check","","Reviewed","Reviewed","Not R2E related","","",0
770841,"LHC","Injector Complex » No Beam » LINAC4","","18-11-2022 07:49:00","18-11-2022 07:52:51","03min 51s",231,"03min 51s",231,"OP Ended","Non-Blocking OP|OP Ended","L4L.NFH.016","L4L.NFH.016","","Reviewed","Requires review","Not R2E related","","",0
770661,"LHC","Power Converters","","18-11-2022 04:39:50","18-11-2022 07:00:00","02h 20min 10s",8410,"02h 20min 10s",8410,"OP Ended","Blocking OP|OP Ended","","BBLR.R1B2 tripped again showing an earth fault. Access needed.","","Reviewed","Reviewed","Not R2E related",772238,"Beam Instrumentation » Other",0
770653,"LHC","Power Converters","","18-11-2022 02:52:28","18-11-2022 04:00:46","01h 08min 18s",4098,"01h 08min 18s",4098,"OP Ended","Blocking OP|OP Ended","","BBLR.R1B2 tripped while being OFF and triggered WIC","","Reviewed","Reviewed","Not R2E related",772238,"Beam Instrumentation » Other",0
772238,"LHC","Beam Instrumentation » Other","","18-11-2022 02:52:00","18-11-2022 02:53:00","01min 00s",60,"03h 28min 56s",12536,"OP Ended","Blocking OP|OP Ended","","Beam beam compensator wire in point 1 causing and earth fault of power converters","","Reviewed","Requires review","Not R2E related","","",2
770566,"LHC","Injector Complex » No Beam » LEIR","","17-11-2022 20:00:20","17-11-2022 20:40:13","39min 53s",2393,"39min 53s",2393,"OP Ended","Non-Blocking OP|OP Ended","ER.QDN1030_STATUS","","","Reviewed","Requires review","Not R2E related","","",0
772214,"LHC","LBDS » Other","","17-11-2022 18:17:19","17-11-2022 20:40:35","02h 23min 16s",8596,"02h 23min 16s",8596,"OP Ended","Blocking OP|OP Ended","","LBDS self trigger for B1 on ion RF frequency change","","Reviewed","Reviewed","Not R2E related","","",0
770289,"LHC","Injector Complex » No Beam » LEIR","","16-11-2022 21:22:43","16-11-2022 22:10:29","47min 46s",2866,"47min 46s",2866,"OP Ended","Non-Blocking OP|OP Ended","ER.QDN2040_STATUS","","","Reviewed","Requires review","Not R2E related","","",0
769934,"LHC","Injector Complex » No Beam » PSB","","16-11-2022 15:44:04","16-11-2022 15:47:27","03min 23s",203,"03min 23s",203,"OP Ended","Non-Blocking OP|OP Ended","","BI.DIS10 down, and back after a single reset","","Reviewed","Reviewed","Not R2E related","","",0
769741,"LHC","Injector Complex » No Beam » LEIR","","16-11-2022 13:22:51","16-11-2022 13:30:03","07min 12s",432,"07min 12s",432,"OP Ended","Non-Blocking OP|OP Ended","ER.DWV42","","","Reviewed","Requires review","Not R2E related","","",0
769609,"LHC","Injector Complex » No Beam » LEIR","","16-11-2022 11:25:27","16-11-2022 11:47:02","21min 35s",1295,"21min 35s",1295,"OP Ended","Non-Blocking OP|OP Ended","","","","Reviewed","Requires review","Not R2E related","","",0
772255,"LHC","Beam Instrumentation » Other","","16-11-2022 10:00:03","16-11-2022 10:00:04","01s",1,"01min 00s",60,"OP Ended","Blocking OP|OP Ended","","Beam beam compensator wire in point 1 causing and earth fault of power converters ","","Reviewed","Requires review","Not R2E related","","",1
772263,"LHC","Power Converters","","16-11-2022 10:00:03","16-11-2022 10:01:03","01min 00s",60,"01min 00s",60,"OP Ended","Blocking OP|OP Ended","","BBLR.R1B2 tripped","","Reviewed","Reviewed","Not R2E related",772255,"Beam Instrumentation » Other",0
769108,"LHC","Power Converters","","15-11-2022 23:18:20","16-11-2022 00:00:44","42min 24s",2544,"42min 24s",2544,"OP Ended","Blocking OP|OP Ended","","RQT11.R8.B2 tripped. The reason seem to have been that two current readings were different. We were able to restart it without any issues. 

EPC logbook: ID:79882","","Reviewed","Reviewed","Not R2E related","","",0
768625,"LHC","Injector Complex » No Beam » PSB","","15-11-2022 17:28:46","15-11-2022 18:20:52","52min 06s",3126,"52min 06s",3126,"OP Ended","Non-Blocking OP|OP Ended","","No one was familiar enough with the POPS B HMI to troubleshoot the problem","","Reviewed","Requires review","Not R2E related","","",0
768395,"LHC","Injector Complex » No Beam » LINAC4","","15-11-2022 15:33:00","15-11-2022 17:29:00","01h 56min 00s",6960,"01h 56min 00s",6960,"OP Ended","Non-Blocking OP|OP Ended","","Joint EPC-RF intervention to replace the RFQ klystron oil following 3 trips of the RFQ in the week 7-14 Nov.

EPC and RF discussed to take the intervention 50% to 50% on their accounts => split the time: 13:37 to 15:33 on EPC and 15:33 to 17:29 on RF [each 1h 56min]

","","Reviewed","Reviewed","Not R2E related","","",0
768230,"LHC","Injector Complex » No Beam » LINAC4","","15-11-2022 13:37:00","15-11-2022 15:33:00","01h 56min 00s",6960,"01h 56min 00s",6960,"OP Ended","Non-Blocking OP|OP Ended","","Joint EPC-RF intervention to replace the RFQ klystron oil following 3 trips of the RFQ in the week 7-14 Nov.

EPC and RF discussed to take the intervention 50% to 50% on their accounts => split the time: 13:37 to 15:33 on EPC and 15:33 to 17:29 on RF [each 1h 56min]","","Reviewed","Reviewed","Not R2E related","","",0
767259,"LHC","Injector Complex » No Beam » LEIR","","15-11-2022 12:33:46","15-11-2022 12:41:55","08min 09s",489,"08min 09s",489,"OP Ended","Non-Blocking OP|OP Ended","ER.DWV42","","","Reviewed","Requires review","Not R2E related","","",0
767077,"LHC","Injector Complex » No Beam » LEIR","","15-11-2022 11:33:43","15-11-2022 11:56:06","22min 23s",1343,"22min 23s",1343,"OP Ended","Non-Blocking OP|OP Ended","ER.DWV42","","","Reviewed","Requires review","Not R2E related","","",0
766974,"LHC","Injector Complex » No Beam » LEIR","","15-11-2022 08:30:43","15-11-2022 09:26:23","55min 40s",3340,"55min 40s",3340,"OP Ended","Non-Blocking OP|OP Ended","","ER.BHN fault","","Reviewed","Requires review","Not R2E related","","",0
766840,"LHC","Injector Complex » No Beam » LEIR","","14-11-2022 15:56:19","14-11-2022 16:37:49","41min 30s",2490,"41min 30s",2490,"OP Ended","Non-Blocking OP|OP Ended","","ER.QFN2040 and ER.QDN2040 FGCs are in fault, not possible to do remote reset.","","Reviewed","Reviewed","Not R2E related","","",0
766918,"LHC","Radio Frequency » Controls","","14-11-2022 09:42:00","14-11-2022 10:06:12","24min 12s",1452,"24min 12s",1452,"OP Ended","Blocking OP|OP Ended","","2B1 - Klystron vac 2 false interlock: Vac1 interlock was ok and in timber we didn't see any vacuum activity: 
https://logbook.cern.ch/elogbook-server/GET/showEventInLogbook/3650688 
The reset fixed the problem, but if it reappears, it means the ion pump power supply needs to be replaced.","","Reviewed","Reviewed","Not R2E related","","",0
766926,"LHC","Injector Complex » No Beam » SPS","","14-11-2022 09:42:00","14-11-2022 14:06:41","04h 24min 41s",15881,"04h 24min 41s",15881,"OP Ended","Blocking OP|OP Ended","","DSO tests in SPS for ION program. No beam. ","","Reviewed","Requires review","Not R2E related","","",0
765452,"LHC","Cryogenics » Users » Quench","","13-11-2022 18:24:34","14-11-2022 06:26:00","12h 01min 26s",43286,"12h 01min 26s",43286,"OP Ended","Blocking OP|OP Ended","","Quench on 11L5, fill 8390.
There was a quench in sector 45 but at the moment it looks like that it was not a training quench but that it was triggered by the nQPS. To be updated with precise infomation when everything is understood.","","Requires review","Reviewed","Not R2E related",765503,"QPS » Controller",0
765503,"LHC","QPS » Controller","","13-11-2022 18:24:34","13-11-2022 18:24:36","02s",2,"12h 01min 26s",43286,"OP Ended","Blocking OP|OP Ended","","Quench was induced by QPS hardware fault","","Requires review","Reviewed","Not R2E related","","",1
766524,"LHC","Injector Complex » No Beam » PS","","13-11-2022 16:55:28","13-11-2022 18:11:10","01h 15min 42s",4542,"01h 15min 42s",4542,"OP Ended","Non-Blocking OP|OP Ended","F16.RBHZ167","F16.BHZ167 water cooling issue","","Requires review","Reviewed","Not R2E related","","",0
765301,"LHC","Beam Instrumentation » Other","","13-11-2022 12:20:51","13-11-2022 13:18:31","57min 40s",3460,"57min 40s",3460,"OP Ended","Blocking OP|OP Ended","","BSRA not working","","Requires review","Requires review","Not R2E related","","",0
765249,"LHC","Injector Complex » No Beam » SPS","","13-11-2022 07:51:46","14-11-2022 11:34:11","1d 03h 42min 25s",99745,"1d 03h 42min 25s",99745,"OP Ended","Non-Blocking OP|OP Ended","","","","Reviewed","Requires review","Not R2E related","","",0
764953,"LHC","Injector Complex » No Beam » PSB","","12-11-2022 19:32:02","12-11-2022 19:39:05","07min 03s",423,"07min 03s",423,"OP Ended","Non-Blocking OP|OP Ended","PSBTK.361.TK.SC.MODULE.1","","","Reviewed","Requires review","Not R2E related","","",0
764538,"LHC","Injector Complex » No Beam » PSB","","12-11-2022 13:46:02","12-11-2022 13:50:27","04min 25s",265,"04min 25s",265,"OP Ended","Non-Blocking OP|OP Ended","BR2.RONO816L1,RPCAB.361.BR2.RXSK4L1","","","Requires review","Reviewed","Not R2E related","","",0
764399,"LHC","Injector Complex » No Beam » PS","","12-11-2022 13:24:16","12-11-2022 13:31:48","07min 32s",452,"07min 32s",452,"OP Ended","Non-Blocking OP|OP Ended","KFA71.359_SC_MODULE_12","KFA71m12","","Reviewed","Requires review","Not R2E related","","",0
764115,"LHC","Injector Complex » No Beam » PS","","11-11-2022 19:57:16","11-11-2022 20:01:35","04min 19s",259,"04min 19s",259,"OP Ended","Non-Blocking OP|OP Ended","PR.AC10-91","C10-91 is down","","Reviewed","Requires review","Not R2E related","","",0
764020,"LHC","Injector Complex » No Beam » PS","","11-11-2022 16:25:29","11-11-2022 16:35:17","09min 48s",588,"09min 48s",588,"OP Ended","Non-Blocking OP|OP Ended","PS.VSIS.TOF.LATCH","","","Reviewed","Reviewed","Not R2E related","","",0
763662,"LHC","Injector Complex » No Beam » LINAC4","","11-11-2022 08:05:00","11-11-2022 08:10:01","05min 01s",301,"05min 01s",301,"OP Ended","Non-Blocking OP|OP Ended","L4L.RCH.111","","","Reviewed","Reviewed","Not R2E related","","",0
763316,"LHC","Injector Complex » No Beam » LINAC4","","11-11-2022 04:53:17","11-11-2022 04:57:34","04min 17s",257,"04min 17s",257,"OP Ended","Non-Blocking OP|OP Ended","L4L.RFQ","Modulator HV trip due to quick klystron impedance increase leading to an over-voltage.
Origin could be on RF or on EPC side, not clear. 2 tips on 11.11.22 => 1 for RF, 1 for EPC.","","Reviewed","Reviewed","Not R2E related","","",0
763168,"LHC","Injector Complex » No Beam » LINAC4","","11-11-2022 02:05:53","11-11-2022 02:11:46","05min 53s",353,"05min 53s",353,"OP Ended","Non-Blocking OP|OP Ended","L4L.RFQ","Modulator HV trip due to quick klystron impedance increase leading to an over-voltage.
Origin could be on RF or on EPC side, not clear. 2 tips on 11.11.22 => 1 for RF, 1 for EPC.","","Reviewed","Reviewed","Not R2E related","","",0
762985,"LHC","Injector Complex » No Beam » LINAC4","","10-11-2022 21:49:54","10-11-2022 21:55:00","05min 06s",306,"05min 06s",306,"OP Ended","Non-Blocking OP|OP Ended","L4L.RCH.111","","","Reviewed","Reviewed","Not R2E related","","",0
766447,"LHC","Injector Complex » No Beam » LINAC4","","10-11-2022 07:37:27","10-11-2022 07:38:46","01min 19s",79,"01min 19s",79,"OP Ended","Non-Blocking OP|OP Ended","L4C.CCDTL3","CCDTl3 one bad pulse at 7:37:25","","Reviewed","Reviewed","Not R2E related","","",0
762495,"LHC","Injector Complex » No Beam » SPS","","09-11-2022 18:40:06","09-11-2022 19:07:00","26min 54s",1614,"26min 54s",1614,"OP Ended","Blocking OP|OP Ended","","Evacuation alarm in BA4., BA5 and BA6","","Requires review","Requires review","Not R2E related","","",0
762243,"LHC","Injector Complex » No Beam » LINAC4","","09-11-2022 16:16:07","09-11-2022 16:18:48","02min 41s",161,"02min 41s",161,"OP Ended","Non-Blocking OP|OP Ended","","L4L.RCH.111 Trip. Reset","","Reviewed","Reviewed","Not R2E related","","",0
762388,"LHC","Injector Complex » No Beam » LINAC4","","09-11-2022 16:06:33","09-11-2022 16:11:47","05min 14s",314,"05min 14s",314,"OP Ended","Non-Blocking OP|OP Ended","","L4L.RCH.111 trip. Reset.","","Reviewed","Reviewed","Not R2E related","","",0
762014,"LHC","Injector Complex » No Beam » LINAC4","","09-11-2022 15:39:53","09-11-2022 15:44:29","04min 36s",276,"04min 36s",276,"OP Ended","Non-Blocking OP|OP Ended","","L4L.RCH.111","","Requires review","Requires review","Not R2E related","","",0
761548,"LHC","Injector Complex » No Beam » SPS","","09-11-2022 15:20:47","09-11-2022 15:21:42","55s",55,"55s",55,"OP Ended","Non-Blocking OP|OP Ended","","No Beam from PS","","Reviewed","Requires review","Not R2E related","","",0
